
**************************************************
All knownplanet from TIC7.1 in sector 2:

pl_hostname  is_transiting   PRIORITY    TESSMAG     RADIUS  total_sectors_obsd
               HD 131664              0     0.006330      7.52300         1.16                   2
                 HD 8535              0     0.005922      7.19600         1.19                   2
                HD 76920              0     0.000669      6.80400         7.47                   2
                HIP 8541              0     0.000434      6.85900         7.83                   2
                HD 23079              0     0.000000      6.55100          NaN                   2
               HD 100546              0     0.000000      6.58500          NaN                   2
                HD 50499              0     0.000000      6.65500          NaN                   2
                HD 95086              0     0.000000      7.15200          NaN                   2
                HD 83443              0     0.000000      7.50500          NaN                   2
               HD 129445              0     0.000000      8.12400          NaN                   2
                 HD 2039              0     0.000000      8.43100          NaN                   2
            NGC 4349 127              0     0.000000      9.25800          NaN                   2
                  24 Sex              0     1.000000      5.46700         4.90                   1
                HD 82943              0     1.000000      5.99400          NaN                   1
                HD 73256              0     0.008959      7.34200         0.89                   1
               HD 128356              0     0.007865      7.33000         0.85                   1
                HD 77338              0     0.007500      7.87700         0.88                   1
                HD 42618              0     0.007417      6.24500         1.00                   1
                HD 20782              0     0.007242      6.76300         1.09                   1
                HD 30669              0     0.006742      8.38000         0.91                   1
                  HD 564              0     0.006701      7.75100         1.01                   1
                HD 20868              0     0.006612      8.93881         0.79                   1
                 HD 7449              0     0.006592      6.94200         1.01                   1
                HD 86226              0     0.006580      7.35800         1.02                   1
                HD 43197              0     0.006443      8.26400         1.00                   1
                HD 98649              0     0.006402      7.40600         1.00                   1
                HD 37605              0     0.006310      7.92100         0.90                   1
                 HD 6434              0     0.006135      7.12400         1.14                   1
                HD 73267              0     0.005991      8.13800         1.04                   1
               HD 220689              0     0.005839      7.17600         1.07                   1
               HD 207832              0     0.005766      8.14900         0.90                   1
                HD 33283              0     0.005722      7.49000         1.20                   1
                 HD 6718              0     0.005326      7.82600         1.02                   1
               HD 148156              0     0.005007      7.17200         1.21                   1
                HD 44219              0     0.004701      7.07400         1.32                   1
                HD 11506              0     0.004606      6.99000         1.33                   1
               HD 109749              0     0.004496      7.59100         1.24                   1
               HD 153950              0     0.004478      6.82900         1.34                   1
                HD 72659              0     0.004363      6.88700         1.36                   1
               HD 165155              0     0.003924      8.67400         0.95                   1
