
**************************************************
All knownplanet from Stephen Kane's list in sector 2:

pl_hostname  is_transiting       Tmag  total_sectors_obsd
                HD 30856              0    7.02500                   1
                HD 44219              0    7.07400                   1
                HD 33142              0    7.09500                   1
                HD 74156              0    7.09700                   1
                HD 74156              0    7.09700                   1
                 HD 6434              0    7.12400                   1
                HD 46375              0    7.13800                   1
                 HD 4208              0    7.14600                   1
                  GJ 674              0    7.15200                   1
                HD 28185              0    7.15600                   1
                HD 98219              0    7.17100                   1
               HD 148156              0    7.17200                   1
               HD 220689              0    7.17600                   1
                 HD 4113              0    7.24400                   1
               HD 212301              0    7.25000                   1
                  GJ 273              0    7.30800                   1
                  GJ 273              0    7.30800                   1
               HD 221287              0    7.31300                   1
                HD 28678              0    7.32600                   1
               HD 128356              0    7.33000                   1
               HD 175167              0    7.33100                   1
                HD 73256              0    7.34200                   1
                HD 86226              0    7.35800                   1
             Proxima Cen              0    7.36000                   1
               HD 106906              0    7.36500                   1
                HD 45652              0    7.36500                   1
               HD 101930              0    7.37000                   1
               HD 204313              0    7.37600                   1
               HD 204313              0    7.37600                   1
                HD 45364              0    7.38100                   1
                HD 45364              0    7.38100                   1
                HD 98649              0    7.40600                   1
                HD 96063              0    7.40900                   1
                HD 93083              0    7.43000                   1
                HD 38801              0    7.47300                   1
                HD 96167              0    7.47900                   1
                HD 33283              0    7.49000                   1
                  GJ 876              0    7.50700                   1
                  GJ 876              0    7.50700                   1
                  GJ 876              0    7.50700                   1
                  GJ 876              0    7.50700                   1
               HD 147873              0    7.53000                   1
               HD 147873              0    7.53000                   1
               HD 154672              0    7.57800                   1
               HD 109749              0    7.59100                   1
               HD 147018              0    7.59500                   1
               HD 147018              0    7.59500                   1
                HD 12484              0    7.60500                   1
                HD 66428              0    7.62500                   1
               HD 224693              0    7.66100                   1
                HD 85390              0    7.72000                   1
                 HD 9174              0    7.73100                   1
               HD 100777              0    7.75000                   1
                  HD 564              0    7.75100                   1
               HD 114386              0    7.75608                   1
                  GJ 433              0    7.80200                   1
             HD 133131 B              0    7.81000                   1
                 HD 6718              0    7.82600                   1
             HD 133131 A              0    7.85000                   1
             HD 133131 A              0    7.85000                   1
                HD 77338              0    7.87700                   1
                GJ 676 A              0    7.88500                   1
                GJ 676 A              0    7.88500                   1
                GJ 676 A              0    7.88500                   1
                GJ 676 A              0    7.88500                   1
                 HD 1690              0    7.90200                   1
                HD 37605              0    7.92100                   1
                HD 37605              0    7.92100                   1
               HD 125595              0    7.94476                   1
               HD 162020              0    8.04100                   1
               HD 205739              0    8.04600                   1
               HD 215497              0    8.07300                   1
               HD 215497              0    8.07300                   1
                HD 70573              0    8.10000                   1
                HD 73267              0    8.13800                   1
               HD 207832              0    8.14900                   1
               HD 207832              0    8.14900                   1
                HD 86081              0    8.15900                   1
                HD 72892              0    8.17500                   1
              BD-06 1339              0    8.21060                   1
              BD-06 1339              0    8.21060                   1
                HD 43197              0    8.26400                   1
                HD 73526              0    8.30100                   1
                HD 73526              0    8.30100                   1
                HD 30669              0    8.38000                   1
               HD 166724              0    8.46609                   1
               HD 152079              0    8.55200                   1
                 HD 2638              0    8.58200                   1
               HD 165155              0    8.67400                   1
               HIP 12961              0    8.67496                   1
              BD-08 2823              0    8.79789                   1
              BD-08 2823              0    8.79789                   1
              BD-13 2130              0    8.89700                   1
                HD 20868              0    8.93881                   1
                  YZ Cet              0    9.07000                   1
                  YZ Cet              0    9.07000                   1
                  YZ Cet              0    9.07000                   1
                HD 95872              0    9.08500                   1
                HIP 5158              0    9.10108                   1
                HIP 5158              0    9.10108                   1
                 GJ 3138              0    9.20600                   1
                 GJ 3138              0    9.20600                   1
                 GJ 3138              0    9.20600                   1
              BD-10 3166              0    9.27800                   1
                  GJ 179              0    9.37400                   1
                 GJ 3323              0    9.45300                   1
                 GJ 3323              0    9.45300                   1
                 GJ 3323              0    9.46600                   1
                 GJ 3323              0    9.46600                   1
                  GJ 317              0    9.59900                   1
                 GJ 3634              0    9.66300                   1
                 GJ 3341              0    9.91600                   1
               WASP-94 B              0    9.99100                   1
                  GQ Lup              0   10.04600                   1
                 GJ 3293              0   10.12200                   1
                 GJ 3293              0   10.12200                   1
                 GJ 3293              0   10.12200                   1
                 GJ 3293              0   10.12200                   1
                 WASP-41              0   10.72600                   1
                 WASP-41              0   10.72600                   1
                  CT Cha              0   10.79900                   1
                 GJ 1132              0   10.93800                   1
                 GJ 1132              0   10.93800                   1
                 CoRoT-7              0   10.95300                   1
                 CoRoT-7              0   10.95300                   1
 2MASS J01225093-2439505              0   11.58300                   1
 VHS J125601.92-125723.9              0   13.34600                   1
 2MASS J02192210-3925225              0   13.49200                   1
      OGLE-2008-BLG-092L              0   13.74700                   1
                CoRoT-20              0   13.77800                   1
                CoRoT-20              0   13.77800                   1
       MOA-2008-BLG-379L              0   13.95900                   1
                 CHXR 73              0   14.42400                   1
       MOA-2010-BLG-328L              0   14.87000                   1
     OGLE-2012-BLG-0406L              0   15.12900                   1
DENIS-P J082303.1-491201              0   15.29700                   1
 2MASS J12073346-3932539              0   15.66200                   1
      OGLE-2007-BLG-368L              0   15.85500                   1
       MOA-2010-BLG-477L              0   15.86200                   1
       MOA-2008-BLG-310L              0   15.88000                   1
     OGLE-2014-BLG-0676L              0   16.00500                   1
                  UZ For              0   16.31100                   1
                  UZ For              0   16.31100                   1
       MOA-2009-BLG-266L              0   16.82900                   1
                GJ 667 C              0   18.45900                   1
                GJ 667 C              0   18.45900                   1
                GJ 667 C              0   18.45900                   1
                GJ 667 C              0   18.45900                   1
                GJ 667 C              0   18.45900                   1

**************************************************
