loc_rowid,pl_hostname,ra_str,ra,dec_str,dec,st_elon,st_elat,MatchID,MatchRA,MatchDEC,pmRA,pmDEC,Tmag,objType,typeSrc,dstArcSec,version,e_pmRA,e_pmDEC,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,duplicate_id,priority,splist,rakane,deckane,elon,elat,sector_0,sector_1,sector_2,sector_3,sector_4,sector_5,sector_6,sector_7,sector_8,sector_9,sector_10,sector_11,sector_12,total_sectors_obsd
2921,Kepler-580,18h53m59.96s,283.499815,+40d33m10.1s,40.552805,292.932406,62.92142,237188565,283.499815,40.552805,-5.690919999999999,12.3087,14.088,STAR,2mass,0.0,20180610,2.13923,2.13923,,,16.618,,15.308,0.10300000000000001,18.6492,0.019884400000000003,16.1402,0.00382131,14.915999999999999,0.00284453,14.4551,0.00297457,14.1844,0.00445127,13.09,0.023,12.440999999999999,0.022000000000000002,12.314,0.028999999999999998,12.231,0.024,12.318,0.023,12.68,0.426,8.844,,14.8191,0.00138866,0.018000000000000002,4298.0,,4.65214,,,,0.64,,0.67,,GIANT,0.1259274,,,,,,99,0.001169058,,0.000402635407077972,knownplanet,283.499815,40.552805,292.9324103155275,62.92140849566756,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2922,Kepler-581,19h41m43.87s,295.432782,+40d38m53.7s,40.648247,311.403889,60.483630000000005,184009313,295.432782,40.648247,,,13.960999999999999,STAR,2mass,0.0,20180610,,,,,15.192,0.04,14.700999999999999,0.057,,,,,,,,,,,13.322000000000001,0.035,12.946,0.043,12.932,0.027000000000000003,12.82,0.027999999999999997,12.882,0.027999999999999997,12.640999999999998,,8.927999999999999,,14.4349,0.0011315,0.021,5772.0,,4.43843,,,,1.0,,1.0,,,1.0,,,,,,237,0.7969111999999999,,0.000203528752666906,knownplanet,295.432782,40.648247,311.4038872592896,60.48361902163276,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2939,Kepler-596,19h18m00.16s,289.500676,+51d41m08.6s,51.68573,312.72507,72.239897,416267321,289.500676,51.68573,-3.63308,0.203522,13.572000000000001,STAR,2mass,0.0,20180610,2.14886,2.14887,,,14.706,0.033,14.128,0.08,,,,,,,,,,,13.074000000000002,0.024,12.812000000000001,0.035,12.715,0.027999999999999997,12.662,0.023,12.692,0.022000000000000002,12.267000000000001,0.209,9.148,,13.9377,0.0008773780000000001,0.018000000000000002,6267.0,,4.280069999999999,,,,1.32,,1.21,,DWARF,2.4214830000000003,,1067.06,,0.0767,,92,0.00426195,,0.00026421170711377203,knownplanet,289.500676,51.68573,312.7250645721416,72.23988581252107,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2940,Kepler-597,19h33m52.83s,293.470106,+39d15m10.1s,39.252808,307.633122,59.663116,138214174,293.470106,39.252808,,,13.513,STAR,2mass,0.0,20180610,,,,,14.044,0.063,14.12,0.126,,,,,,,,,,,12.950999999999999,0.022000000000000002,12.562000000000001,0.022000000000000002,12.54,0.025,12.42,0.024,12.494000000000002,0.024,12.354000000000001,0.293,9.433,,13.929,0.0008735510000000001,0.018000000000000002,5683.0,,4.46975,,,,0.95,,0.97,,,0.8481107,,734.435,,,,275,0.7594873000000001,,0.000306086101916063,knownplanet,293.470106,39.252808,307.63312127830847,59.663105154333394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2953,Kepler-604,19h29m15.84s,292.316017,+42d37m34.5s,42.626255,308.192895,63.137004000000005,63212809,292.316017,42.626255,,,14.144,STAR,2mass,0.0,20180610,,,,,15.209000000000001,0.044000000000000004,14.790999999999999,0.183,,,,,,,,,,,13.552999999999999,0.025,13.200999999999999,0.023,13.19,0.037000000000000005,13.117,0.024,13.177999999999999,0.025,12.493,,9.293,,14.582,0.0012,0.019,5890.0,,4.42135,,,,1.03,,1.02,,,1.1503510000000001,,978.7360000000001,,,,175,0.12670209999999998,,0.00018711028218259,knownplanet,292.316017,42.626255,308.19289364600434,63.13699311648515,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2987,Kepler-627,19h28m25.03s,292.104279,+39d46m04.5s,39.767914000000005,305.942954,60.478421999999995,137413972,292.104279,39.767914000000005,,,13.464,STAR,2mass,0.0,20180610,,,,,14.464,0.024,14.181,0.20600000000000002,,,,,,,,,,,12.915999999999999,0.024,12.657,0.025,12.607999999999999,0.028999999999999998,12.440999999999999,0.023,12.497,0.023,12.369000000000002,0.32299999999999995,8.877,,13.8698,0.0008480769999999999,0.018000000000000002,6424.0,,4.206,,,,1.49,,1.3,,,3.4063510000000004,,1166.16,,,,220,0.5193297,,0.000168585458969525,knownplanet,292.104279,39.767914000000005,305.942954515367,60.47841041247794,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2993,Kepler-632,19h49m00.63s,297.252613,+40d17m19.0s,40.288605,313.744564,59.657485,169181786,297.252613,40.288605,,,12.763,STAR,2mass,0.0,20180610,,,,,14.446,0.034,13.442,0.13699999999999998,,,,,,,,,,,11.994000000000002,0.024,11.567,0.022000000000000002,11.479000000000001,0.02,11.437000000000001,0.023,11.501,0.021,11.702,0.203,8.934,,,,0.033,5322.0,,4.54891,,0.131,0.373,0.84,,0.91,,,0.5099795,,,,,,301,0.06229336,,0.000749627849429414,knownplanet,297.252613,40.288605,313.74456170318126,59.65747342348191,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1256,Kepler-108,19h38m14.20s,294.559169,+46d03m44.4s,46.062325,314.58676099999997,65.74306700000001,271164755,294.559169,46.062325,,,11.929,STAR,2mass,0.0,20180610,,,,,,,12.657,0.069,,,,,,,,,,,11.43,0.022000000000000002,11.065,0.017,10.982999999999999,0.017,10.946,0.024,11.01,0.022000000000000002,10.925,0.073,9.361,,12.2961,0.0004,0.018000000000000002,5854.0,,3.69706,,,,2.19,,0.87,,,5.0745059999999995,,338.73199999999997,,,,194,0.6941674,,0.000273454205040704,knownplanet,294.559169,46.062325,314.58675727806906,65.74305609609313,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1257,Kepler-108,19h38m14.20s,294.559169,+46d03m44.4s,46.062325,314.58676099999997,65.74306700000001,271164755,294.559169,46.062325,,,11.929,STAR,2mass,0.0,20180610,,,,,,,12.657,0.069,,,,,,,,,,,11.43,0.022000000000000002,11.065,0.017,10.982999999999999,0.017,10.946,0.024,11.01,0.022000000000000002,10.925,0.073,9.361,,12.2961,0.0004,0.018000000000000002,5854.0,,3.69706,,,,2.19,,0.87,,,5.0745059999999995,,338.73199999999997,,,,194,0.6941674,,0.000273454205040704,knownplanet,294.559169,46.062325,314.58675727806906,65.74305609609313,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1254,Kepler-1078,19h32m48.14s,293.20058900000004,+43d03m00.1s,43.050036999999996,309.867543,63.313722,275494550,293.20058900000004,43.050036999999996,0.224773,0.579254,15.030999999999999,STAR,2mass,0.0,20180610,2.13923,2.13924,,,16.487000000000002,0.055,15.703,0.10300000000000001,,,,,,,,,,,14.398,0.031,14.024000000000001,0.03,13.932,0.071,13.859000000000002,0.027999999999999997,13.924000000000001,0.033,12.825,,9.027000000000001,,15.5002,0.00204541,0.02,5612.0,,4.48398,,,,0.92,,0.94,,GIANT,0.7563816999999999,,,,,,159,0.12198800000000001,,0.000103885500092272,knownplanet,293.20058900000004,43.050036999999996,309.86754165256025,63.31371054542965,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1262,Kepler-1084,19h20m24.47s,290.101971,+48d15m04.1s,48.251137,309.569568,68.945317,267749737,290.101971,48.251137,0.342042,3.90513,11.699000000000002,STAR,2mass,0.0,20180610,1.48278,1.01262,2.42516,0.390599,13.119000000000002,0.35700000000000004,12.015,0.034,,,,,,,,,,,11.177999999999999,0.024,10.904000000000002,0.033,10.835999999999999,0.018000000000000002,10.794,0.022000000000000002,10.825,0.02,10.662,0.062,9.737,,12.0837,0.000359813,0.018000000000000002,6113.0,,4.27323,,,,1.28,,1.12,,DWARF,2.061257,,412.3443,57.2,,,99,0.04288006,,0.000840109426467846,knownplanet,290.101971,48.251137,309.569565548301,68.94530599168806,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1263,Kepler-1085,19h09m54.64s,287.477648,+46d08m28.3s,46.141186,303.073393,67.58395,158487108,287.477648,46.141186,0.20683600000000002,-0.0155482,14.752,STAR,2mass,0.0,20180610,2.15307,2.15307,,,16.118,0.02,15.273,0.115,,,,,,,,,,,14.2,0.021,13.914000000000001,0.031,13.890999999999998,0.046,13.857999999999999,0.03,13.886,0.033,13.017000000000001,,8.994,,15.1604,0.00167867,0.018000000000000002,6000.0,,4.36994,,,,1.14,,1.11,,DWARF,1.517433,,1566.25,,0.0606,,128,0.25358189999999997,,0.000105243873625615,knownplanet,287.477648,46.141186,303.07339347119233,67.58393881126402,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1300,Kepler-111,19h26m36.76s,291.65317000000005,+44d41m17.8s,44.688274,308.77929900000004,65.238602,63001143,291.65317000000005,44.688274,-0.766649,0.368852,12.945,STAR,2mass,0.0,20180610,2.1030900000000003,2.1030900000000003,,,14.341,0.031,13.543,0.069,,,,,,,,,,,12.412,0.021,12.110999999999999,0.021,12.11,0.023,12.04,0.024,12.095,0.021,12.202,0.221,9.055,,13.3388,0.00065317,0.018000000000000002,5952.0,,,,0.28,0.07,1.16,,,,DWARF,1.521466,,734.448,,,,144,0.04429731,,0.000428186839853644,knownplanet,291.65317000000005,44.688274,308.7792970517444,65.23859030530721,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1301,Kepler-111,19h26m36.76s,291.65317000000005,+44d41m17.8s,44.688274,308.77929900000004,65.238602,63001143,291.65317000000005,44.688274,-0.766649,0.368852,12.945,STAR,2mass,0.0,20180610,2.1030900000000003,2.1030900000000003,,,14.341,0.031,13.543,0.069,,,,,,,,,,,12.412,0.021,12.110999999999999,0.021,12.11,0.023,12.04,0.024,12.095,0.021,12.202,0.221,9.055,,13.3388,0.00065317,0.018000000000000002,5952.0,,,,0.28,0.07,1.16,,,,DWARF,1.521466,,734.448,,,,144,0.04429731,,0.000428186839853644,knownplanet,291.65317000000005,44.688274,308.7792970517444,65.23859030530721,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1302,Kepler-1110,19h27m13.93s,291.808022,+38d37m21.7s,38.622703,304.824802,59.453192,351060274,291.808022,38.622703,9.59789,-9.8122,15.149000000000001,STAR,2mass,0.0,20180610,2.21924,2.21924,,,17.014,0.07200000000000001,16.274,0.092,,,,,,,,,,,14.319,0.035,13.748,0.036000000000000004,13.604000000000001,0.044000000000000004,13.524000000000001,0.024,13.6,0.027999999999999997,12.782,,9.372,,15.7616,0.00239768,0.021,4781.0,,4.61156,,,,0.7,,0.73,,DWARF,0.23065650000000001,,,,,,203,0.8869879,,0.000127033255917051,knownplanet,291.808022,38.622703,304.82480283883444,59.45318038407659,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1311,Kepler-1119,19h48m04.59s,297.019131,+44d19m39.1s,44.327521999999995,316.65351699999997,63.456331999999996,272940104,297.019131,44.327521999999995,,,14.499,STAR,2mass,0.0,20180610,,,,,16.078,0.039,15.296,0.15,,,,,,,,,,,13.864,0.026000000000000002,13.54,0.028999999999999998,13.456,,13.353,0.025,13.445,0.03,12.254000000000001,,9.402000000000001,,14.9691,0.00150786,0.019,6083.0,,4.34738,,,,1.17,,1.11,,,1.6886419999999998,,1365.2,,,,253,0.1306733,,0.00011528117685395,knownplanet,297.019131,44.327521999999995,316.653513076298,63.456321519406735,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1312,Kepler-112,19h47m55.44s,296.981009,+43d12m35.1s,43.209751000000004,315.621644,62.44143199999999,272943597,296.981009,43.209751000000004,,,13.209000000000001,STAR,2mass,0.0,20180610,,,,,14.536,0.027999999999999997,13.927,0.10300000000000001,,,,,,,,,,,12.583,0.022000000000000002,12.225999999999999,0.02,12.155,0.021,12.045,0.022000000000000002,12.107000000000001,0.021,12.252,0.248,9.67,,13.6733,0.000769232,0.018000000000000002,5544.0,,,,,,0.84,,,,,0.6005458,,601.597,,,,263,0.11032360000000001,,0.000530198437664694,knownplanet,296.981009,43.209751000000004,315.6216404179668,62.44142142908385,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1313,Kepler-112,19h47m55.44s,296.981009,+43d12m35.1s,43.209751000000004,315.621644,62.44143199999999,272943597,296.981009,43.209751000000004,,,13.209000000000001,STAR,2mass,0.0,20180610,,,,,14.536,0.027999999999999997,13.927,0.10300000000000001,,,,,,,,,,,12.583,0.022000000000000002,12.225999999999999,0.02,12.155,0.021,12.045,0.022000000000000002,12.107000000000001,0.021,12.252,0.248,9.67,,13.6733,0.000769232,0.018000000000000002,5544.0,,,,,,0.84,,,,,0.6005458,,601.597,,,,263,0.11032360000000001,,0.000530198437664694,knownplanet,296.981009,43.209751000000004,315.6216404179668,62.44142142908385,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1314,Kepler-1120,19h23m39.48s,290.914483,+42d17m11.7s,42.286578999999996,305.783686,63.151105,159573412,290.914483,42.286578999999996,,,14.591,STAR,2mass,0.0,20180610,,,,,16.52,0.068,15.494000000000002,0.20600000000000002,,,,,,,,,,,13.79,0.027000000000000003,13.255999999999998,0.027999999999999997,13.17,0.026000000000000002,13.135,0.024,13.185,0.027999999999999997,12.75,0.433,9.384,,15.1828,0.0017,0.019,4904.0,,4.59206,,,,0.74,,0.78,,,0.2853383,,,,,,159,0.1319661,,0.000210281782333742,knownplanet,290.914483,42.286578999999996,305.78368579717574,63.151093989163904,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1309,Kepler-1117,19h28m20.35s,292.08477999999997,+49d14m14.9s,49.23748,314.044957,69.322735,26583640,292.08477999999997,49.23748,,,13.497,STAR,2mass,0.0,20180610,,,,,15.093,0.006,14.15,0.24,,,,,,,,,,,12.867,0.025,12.512,0.021,12.463,0.026000000000000002,12.372,0.023,12.44,0.021,12.915,0.39299999999999996,9.556000000000001,,13.9641,0.0009,0.018000000000000002,5612.0,,4.47919,,,,0.93,,0.95,,,0.7729142,,,,,,115,0.11039020000000001,,0.00042752379088795,knownplanet,292.08477999999997,49.23748,314.0449519861701,69.32272356123624,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1318,Kepler-1124,19h06m22.63s,286.594273,+37d53m28.6s,37.891265999999995,296.624513,59.806045,120963454,286.594273,37.891265999999995,,,14.828,STAR,2mass,0.0,20180610,,,,,17.265,0.065,16.745,1.133,20.3615,0.05204740000000001,17.5773,0.00510526,16.1314,0.00387342,15.3314,0.00345017,14.8898,0.00433049,13.671,0.025,13.055,0.027999999999999997,12.825999999999999,0.027000000000000003,12.713,0.024,12.652999999999999,0.024,12.567,0.37200000000000005,9.193,0.47700000000000004,15.6653,0.0023,0.018000000000000002,3658.0,,4.9195400000000005,,,,0.34,,0.35,,,0.01864779,,,,,,147,0.07749689,,0.000515617581306378,knownplanet,286.594273,37.891265999999995,296.62451657037366,59.80603367753387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1334,Kepler-1137,19h08m31.27s,287.13027200000005,+48d39m55.3s,48.665375,304.75213199999996,70.045643,399913391,287.13027200000005,48.665375,-1.5366600000000001,0.5956739999999999,12.331,STAR,2mass,0.0,20180610,2.1952700000000003,2.1952700000000003,,,13.527999999999999,0.065,12.827,0.10300000000000001,,,,,,,,,,,11.917,0.02,11.763,0.026000000000000002,11.699000000000002,0.024,11.618,0.023,11.63,0.022000000000000002,11.42,0.11699999999999999,9.583,,12.6322,0.00046573400000000004,0.017,6807.0,,4.08488,,,,1.84,,1.5,,DWARF,6.548674,,792.962,,0.0679137,,92,0.309842,,0.000330164143500192,knownplanet,287.13027200000005,48.665375,304.75213220055326,70.04563162627711,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1327,Kepler-1130,19h00m49.80s,285.207485,+45d23m03.7s,45.38435,298.545854,67.32252700000001,164882482,285.207485,45.38435,,,11.797,STAR,2mass,0.0,20180610,,,,,13.519,0.042,12.509,0.046,,,,,,,,,,,11.137,0.023,10.735,0.018000000000000002,10.662,0.016,10.579,0.023,10.606,0.02,10.53,0.057999999999999996,8.818999999999999,,12.2857,0.0004,0.018000000000000002,5403.0,,4.5757,,,,0.81,,0.9,,,0.5037379,,,,0.05191609999999999,,98,0.22606579999999998,,0.0014531370512430699,knownplanet,285.207485,45.38435,298.54585678984694,67.32251599598271,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1349,Kepler-1148,19h23m48.85s,290.953557,+45d43m10.3s,45.719536,308.541312,66.377441,159581434,290.953557,45.719536,,,14.587,STAR,2mass,0.0,20180610,,,,,16.487000000000002,0.076,15.533,0.22899999999999998,,,,,,,,,,,13.8,0.023,13.300999999999998,0.024,13.200999999999999,0.027000000000000003,13.210999999999999,0.028999999999999998,13.280999999999999,0.032,12.902999999999999,,9.029,,15.1688,0.00168671,0.018000000000000002,5054.0,,4.573930000000001,,,,0.77,,0.81,,,0.3485115,,682.54,,,,143,0.2096547,,0.000212579274329416,knownplanet,290.953557,45.719536,308.5413102432402,66.37742929371392,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1354,Kepler-1151,19h28m59.47s,292.247793,+47d52m42.4s,47.878452,312.770719,68.040476,63204022,292.247793,47.878452,,,14.27,STAR,2mass,0.0,20180610,,,,,15.567,0.017,15.005,0.08,,,,,,,,,,,13.61,0.037000000000000005,13.207,0.036000000000000004,13.126,0.04,13.112,0.027999999999999997,13.177999999999999,0.03,12.575,,8.527000000000001,,14.759,0.00134411,0.022000000000000002,5470.0,,4.52407,,,,0.85,,0.88,,,0.5827494000000001,,,,,,163,0.226177,,0.000249483376725798,knownplanet,292.247793,47.878452,312.770714887379,68.04046458403853,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1369,Kepler-1163,19h20m56.60s,290.235843,+50d01m48.3s,50.030087,311.841071,70.543718,406950324,290.235843,50.030087,-4.26114,0.187053,11.712,STAR,2mass,0.0,20180610,2.17768,2.17768,,,12.655,0.019,12.208,0.069,,,,,,,,,,,11.253,0.023,10.982000000000001,0.027000000000000003,10.970999999999998,0.022000000000000002,10.927,0.023,10.97,0.02,10.984000000000002,0.076,9.622,,12.0484,0.00035391,0.018000000000000002,6302.0,,4.26412,,,,1.35,,1.22,,DWARF,2.589857,,452.36800000000005,,0.0793375,,84,0.6733081,,0.000736275814114535,knownplanet,290.235843,50.030087,311.8410666974804,70.54370677604199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1372,Kepler-1166,19h21m23.64s,290.348519,+50d54m10.3s,50.902854999999995,313.167796,71.304598,406951266,290.348519,50.902854999999995,-0.388465,-1.33907,13.88,STAR,2mass,0.0,20180610,2.17767,2.17767,,,15.312000000000001,0.046,14.65,0.069,,,,,,,,,,,13.222999999999999,0.026000000000000002,12.822000000000001,0.031,12.737,0.027999999999999997,12.700999999999999,0.023,12.758,0.023,12.73,0.325,9.551,,14.367,0.00109216,0.019,5446.0,,4.52367,,,,0.86,,0.9,,GIANT,0.5861411,,,,,,97,0.2923574,,0.00036853739851847,knownplanet,290.348519,50.902854999999995,313.1677908500882,71.30458685282822,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1375,Kepler-1169,19h39m38.78s,294.911573,+46d29m29.3s,46.491463,315.55935,66.03572,271354748,294.911573,46.491463,,,12.228,STAR,2mass,0.0,20180610,,,,,13.484000000000002,0.053,12.707,0.057,,,,,,,,,,,11.719000000000001,0.022000000000000002,11.456,0.018000000000000002,11.409,0.018000000000000002,11.362,0.023,11.398,0.021,11.270999999999999,0.075,9.312000000000001,,12.6035,0.0005,0.018000000000000002,6191.0,,4.352040000000001,,0.233,0.222,1.23,,1.24,,,2.0023880000000003,,605.048,,,,188,0.2863736,,0.000579020108825875,knownplanet,294.911573,46.491463,315.55934548574726,66.03570864281767,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1385,Kepler-1177,19h06m41.14s,286.671437,+49d24m22.6s,49.406288,304.673677,70.84485500000001,399826020,286.671437,49.406288,-5.3626,1.03262,13.964,STAR,2mass,0.0,20180610,2.1952700000000003,2.1952700000000003,,,15.645,0.068,14.773,0.13699999999999998,,,,,,,,,,,13.35,0.026000000000000002,13.035,0.052000000000000005,12.967,0.034,12.899000000000001,0.023,12.931,0.024,13.183,0.517,9.597999999999999,,14.4185,0.00112182,0.019,5712.0,,4.45611,,,,0.97,,0.98,,DWARF,0.9023831,,870.7819999999999,,0.0682,,76,0.04071179,,0.00029025060552959905,knownplanet,286.671437,49.406288,304.6736767783551,70.8448441215266,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1412,Kepler-12,19h04m58.42s,286.243425,+50d02m25.4s,50.040382,304.557051,71.535667,405717754,286.243425,50.040382,1.62396,-0.279773,12.911,STAR,2mass,0.0,20180610,2.1952700000000003,2.1952700000000003,,,14.270999999999999,0.067,13.468,0.217,,,,,,,,,,,12.405999999999999,0.026000000000000002,12.107000000000001,0.031,12.065999999999999,0.023,12.050999999999998,0.023,12.079,0.021,11.882,0.159,9.116,,13.283,0.000635723,0.019,5947.0,,4.1660900000000005,,0.05,0.1,1.48,,1.17,,DWARF,2.468368,,710.559,,0.061568,,86,0.01731402,,0.000360673008693567,knownplanet,286.243425,50.040382,304.5570509028486,71.53565577566475,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1415,Kepler-1200,19h46m24.83s,296.60345099999995,+44d07m45.3s,44.129257,315.86585,63.394172,272489594,296.60345099999995,44.129257,,,14.92,STAR,2mass,0.0,20180610,,,,,17.567,0.065,16.06,0.183,,,,,,,,,,,13.96,0.025,13.379000000000001,0.023,13.202,0.03,13.154000000000002,0.024,13.299000000000001,0.025,12.58,,9.218,,15.6248,0.0022,0.018000000000000002,4612.0,,4.6174599999999995,,,,0.7,,0.74,,,0.1997322,,,,,,252,0.2456681,,0.00017190996175174499,knownplanet,296.60345099999995,44.129257,315.8658464075666,63.39416062488436,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1430,Kepler-1213,19h17m56.60s,289.48582200000004,+50d56m39.0s,50.944164,311.677104,71.573475,416266465,289.48582200000004,50.944164,2.31699,4.7524,12.883,STAR,2mass,0.0,20180610,2.1770400000000003,2.17705,,,13.859000000000002,0.008,13.415999999999999,0.08,,,,,,,,,,,12.367,0.027000000000000003,12.043,0.03,11.988,0.023,11.965,0.023,12.007,0.022000000000000002,12.084000000000001,0.215,9.625,,13.2638,0.000629871,0.019,6050.0,,4.32976,,,,1.21,,1.14,,DWARF,1.767205,,618.806,,0.08582619999999999,,109,0.3388199,,0.000469547465396817,knownplanet,289.48582200000004,50.944164,311.6770992232866,71.57346389053039,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1434,Kepler-1217,19h16m44.80s,289.186676,+50d56m15.2s,50.937557,311.125431,71.646165,299160628,289.186676,50.937557,-0.44719899999999996,-2.6792,14.714,STAR,2mass,0.0,20180610,2.18644,2.18644,,,15.747,-0.055,15.343,0.172,,,,,,,,,,,14.120999999999999,0.031,13.834000000000001,0.035,13.807,0.051,13.792,0.024,13.872,0.028999999999999998,12.89,,9.547,,15.1539,0.00167245,0.02,5905.0,,4.39689,,,,1.08,,1.06,,DWARF,1.277679,,1497.98,,0.0878,,95,0.225406,,0.000132732904768901,knownplanet,289.186676,50.937557,311.1254266407694,71.64615406421953,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1442,Kepler-1220,19h48m16.89s,297.07036899999997,+42d58m39.9s,42.977740999999995,315.556696,62.202316,272944301,297.07036899999997,42.977740999999995,,,14.369000000000002,STAR,2mass,0.0,20180610,,,,,15.898,0.055999999999999994,15.194,0.092,,,,,,,,,,,13.706,0.024,13.345,0.023,13.208,0.033,13.164000000000001,0.024,13.274000000000001,0.027999999999999997,13.145,,9.56,,14.8609,0.00142065,0.018000000000000002,5842.0,,4.44716,,,,0.99,,1.0,,,1.028517,,1210.9,,,,268,0.7167217,,0.000154890437264969,knownplanet,297.07036899999997,42.977740999999995,315.5566922217759,62.2023052157256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1446,Kepler-1224,19h06m30.18s,286.625763,+37d32m14.3s,37.537304,296.515056,59.455549,120964116,286.625763,37.537304,2.7101599999999997,0.340358,12.385,STAR,2mass,0.0,20180610,0.964994,0.9650049999999999,,,14.257,0.066,12.925999999999998,0.069,,,,,,,,,,,11.890999999999998,0.021,11.635,0.022000000000000002,11.588,0.021,11.561,0.023,11.602,0.021,11.449000000000002,0.134,9.273,,12.7487,0.000492173,0.018000000000000002,6155.0,,4.3375900000000005,,,,1.22,,1.18,,DWARF,1.924538,,,,,,136,0.30018340000000004,,0.00047031146975763096,knownplanet,286.625763,37.537304,296.51505891143864,59.455537769821774,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1457,Kepler-1233,19h49m30.02s,297.375101,+46d39m44.0s,46.662216,319.46641600000004,65.467508,273131021,297.375101,46.662216,,,14.16,STAR,2mass,0.0,20180610,,,,,14.164000000000001,0.073,14.82,0.012,,,,,,,,,,,13.594000000000001,0.048,13.315999999999999,0.052000000000000005,13.258,0.034,13.217,0.031,13.282,0.033,12.422,,9.06,,14.5794,0.00122091,0.026000000000000002,6198.0,,4.309069999999999,,,,1.25,,1.16,,,2.077404,,,,,,243,2.146199,,0.000126105253517701,knownplanet,297.375101,46.662216,319.4664095908768,65.4674975053885,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1478,Kepler-125,19h53m01.95s,298.258123,+47d36m17.8s,47.604946000000005,321.80907,66.036862,273873718,298.258123,47.604946000000005,,,13.686,STAR,2mass,0.0,20180610,,,,,16.772000000000002,0.16699999999999998,15.431,0.046,,,,,,,,,,,12.484000000000002,0.022000000000000002,11.869000000000002,0.021,11.682,0.019,11.543,0.022000000000000002,11.552999999999999,0.02,11.145999999999999,0.084,9.046,0.413,14.552999999999999,0.0012,0.017,3810.0,,4.76365,,,,0.51,,0.55,,,0.04937817,,,,,,226,0.14984370000000002,,0.000831010954586934,knownplanet,298.258123,47.604946000000005,321.8090629001871,66.03685104393594,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1479,Kepler-125,19h53m01.95s,298.258123,+47d36m17.8s,47.604946000000005,321.80907,66.036862,273873718,298.258123,47.604946000000005,,,13.686,STAR,2mass,0.0,20180610,,,,,16.772000000000002,0.16699999999999998,15.431,0.046,,,,,,,,,,,12.484000000000002,0.022000000000000002,11.869000000000002,0.021,11.682,0.019,11.543,0.022000000000000002,11.552999999999999,0.02,11.145999999999999,0.084,9.046,0.413,14.552999999999999,0.0012,0.017,3810.0,,4.76365,,,,0.51,,0.55,,,0.04937817,,,,,,226,0.14984370000000002,,0.000831010954586934,knownplanet,298.258123,47.604946000000005,321.8090629001871,66.03685104393594,0,0,0,0,0,0,0,0,0,0,0,0,0,0
