loc_rowid,pl_hostname,ra_str,ra,dec_str,dec,st_elon,st_elat,MatchID,MatchRA,MatchDEC,pmRA,pmDEC,Tmag,objType,typeSrc,dstArcSec,version,e_pmRA,e_pmDEC,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,duplicate_id,priority,splist,rakane,deckane,elon,elat,sector_0,sector_1,sector_2,sector_3,sector_4,sector_5,sector_6,sector_7,sector_8,sector_9,sector_10,sector_11,sector_12,total_sectors_obsd
3110,Kepler-734,19h48m10.95s,297.045638,+46d01m38.5s,46.027363,318.319442,64.99435799999999,272845785,297.045633,46.027366,-10.4316,6.44616,13.796,STAR,2mass,0.0165176159052363,20180610,2.09551,2.09551,,,15.534,0.013999999999999999,14.469000000000001,0.149,,,,,,,,,,,13.107000000000001,0.023,12.745999999999999,0.022000000000000002,12.668,0.025,12.603,0.023,12.658,0.023,12.728,0.45899999999999996,9.173,,14.3077,0.00105915,0.018000000000000002,5326.0,,4.58366,,,,0.78,,0.85,,DWARF,0.4410507000000001,,916.225,,,,215,0.09451352,,0.000395682193247657,knownplanet,297.045638,46.027363,318.319437004057,64.99434687003159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2526,Kepler-345,19h40m54.91s,295.22880200000003,+45d58m15.7s,45.97102,315.526445,65.471067,271546191,295.22880699999996,45.971022999999995,9.97326,5.962280000000001,13.225,STAR,2mass,0.0165272519401449,20180610,2.1019200000000002,2.1019200000000002,,,14.895,0.068,14.344000000000001,0.08,,,,,,,,,,,12.309000000000001,0.025,11.665,0.02,11.550999999999998,0.017,11.412,0.023,11.477,0.021,11.232999999999999,0.087,9.16,,13.8994,0.000860715,0.018000000000000002,4504.0,,4.6245,,,,0.62,,0.59,,GIANT,0.14251860000000002,,,,,,188,0.360966,,0.0008499659969919349,knownplanet,295.22880200000003,45.97102,315.5264409108394,65.4710564480818,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2527,Kepler-345,19h40m54.91s,295.22880200000003,+45d58m15.7s,45.97102,315.526445,65.471067,271546191,295.22880699999996,45.971022999999995,9.97326,5.962280000000001,13.225,STAR,2mass,0.0165272519401449,20180610,2.1019200000000002,2.1019200000000002,,,14.895,0.068,14.344000000000001,0.08,,,,,,,,,,,12.309000000000001,0.025,11.665,0.02,11.550999999999998,0.017,11.412,0.023,11.477,0.021,11.232999999999999,0.087,9.16,,13.8994,0.000860715,0.018000000000000002,4504.0,,4.6245,,,,0.62,,0.59,,GIANT,0.14251860000000002,,,,,,188,0.360966,,0.0008499659969919349,knownplanet,295.22880200000003,45.97102,315.5264409108394,65.4710564480818,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1433,Kepler-1216,19h09m37.28s,287.405321,+45d55m04.8s,45.918007,302.767288,67.387501,158486842,287.405316,45.918003999999996,-11.3568,-5.97168,14.57,STAR,2mass,0.0165363142638584,20180610,2.15307,2.15307,,,16.076,0.022000000000000002,15.262,0.069,,,,,,,,,,,13.97,0.021,13.642999999999999,0.027000000000000003,13.613,0.034,13.549000000000001,0.024,13.58,0.027999999999999997,13.061,0.502,9.451,,15.0145,0.00154635,0.018000000000000002,5743.0,,4.45161,,,,0.98,,0.99,,DWARF,0.9412438,,1274.64,,0.0565,,96,0.1162557,,0.000154849544920132,knownplanet,287.405321,45.918007,302.7672885326146,67.38748999504787,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2899,Kepler-563,19h29m47.11s,292.446272,+46d17m23.2s,46.289776,311.479918,66.525899,63289401,292.44626600000004,46.289774,-13.8897,-5.18386,14.091,STAR,2mass,0.0165716898727186,20180610,2.15493,2.1549400000000003,,,16.017,,14.901,0.08,,,,,,,,,,,13.357999999999999,0.023,12.831,0.017,12.773,0.03,12.708,0.023,12.783,0.023,12.745,0.36700000000000005,9.538,,14.635,0.00125757,0.018000000000000002,5066.0,,4.5685400000000005,,,,0.77,,0.8,,DWARF,0.3518333,,,,,,131,0.1832358,,0.000324610881685948,knownplanet,292.446272,46.289776,311.4799152569094,66.52588767425638,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1882,Kepler-1556,19h13m35.28s,288.397002,+40d12m47.5s,40.2132,300.570033,61.71413100000001,121603852,288.397005,40.213196,-2.38594,-0.8208290000000001,14.684000000000001,STAR,2mass,0.0165945611419161,20180610,2.1171900000000003,2.1171900000000003,,,16.235,0.068,15.651,0.069,,,,,,,,,,,13.998,0.025,13.695,0.031,13.555,0.043,13.511,0.024,13.536,0.031,12.764000000000001,,9.267999999999999,,15.1934,0.00171054,0.018000000000000002,5608.0,,4.46975,,0.129,0.401,0.95,,0.97,,DWARF,0.8042183,,1517.99,,,,140,2.123783,,0.00011752831358109699,knownplanet,288.397002,40.2132,300.5700351396515,61.71411972206323,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1359,Kepler-1155,19h15m16.94s,288.820587,+39d31m22.2s,39.522827,300.84276800000004,60.962334,121785676,288.820584,39.522822999999995,1.55817,7.3129,14.195,STAR,2mass,0.0166361763681259,20180610,2.1171900000000003,2.1172,,,15.713,0.061,14.799000000000001,0.13699999999999998,16.5934,0.00723101,15.1874,0.00302414,14.6731,0.00311811,14.507,0.00331011,14.4106,0.00420104,13.587,0.022000000000000002,13.254000000000001,0.026000000000000002,13.184000000000001,0.032,13.094000000000001,0.024,13.110999999999999,0.027999999999999997,12.387,,8.644,,14.6449,0.00126423,0.018000000000000002,5842.0,,4.425590000000001,,,,1.03,,1.03,,DWARF,1.113308,,1128.72,,,,163,0.1259104,,0.000171559799864838,knownplanet,288.820587,39.522827,300.8427701774136,60.96232289657238,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1811,Kepler-1502,19h44m25.90s,296.107919,+39d19m11.7s,39.319913,311.46232200000003,59.058438,184298883,296.107916,39.319909,-0.0807502,2.15151,13.662,STAR,2mass,0.0166483524257579,20180610,2.10434,2.13238,,,14.687999999999999,,14.18,0.183,,,,,,,,,,,13.174000000000001,0.021,12.945,0.025,12.907,0.027999999999999997,12.837,0.024,12.86,0.024,12.815999999999999,0.466,9.375,,14.0208,0.000914871,0.018000000000000002,6666.0,,4.12573,,,,1.72,,1.44,,DWARF,5.262751000000001,,1305.29,,,,285,0.05383757,,0.000119887587651009,knownplanet,296.107919,39.319913,311.46232102532946,59.05842688818871,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3431,Kepler-983,19h00m24.97s,285.10406,+45d00m29.4s,45.008167,298.105533,66.979608,164882868,285.104065,45.008164,10.8283,-7.73442,13.217,STAR,2mass,0.0166911301345283,20180610,2.12025,2.12034,,,,,14.047,0.02,,,,,,,,,,,12.456,0.022000000000000002,12.155999999999999,0.019,12.169,0.021,12.083,0.023,12.13,0.021,12.507,0.33299999999999996,8.964,,13.7814,0.000811515,0.018000000000000002,6052.0,,4.42466,,,,1.08,,1.13,,DWARF,1.409736,,714.437,,0.053376599999999996,,94,0.28177579999999997,,0.00038893506708262995,knownplanet,285.10406,45.008167,298.10553637499766,66.97959675575169,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,HAT-P-66,10h02m17.43s,150.572632,+53d57m03.1s,53.950863,131.132372,38.813394,137881699,150.572628,53.950858999999994,-10.7051,-13.6533,12.469000000000001,STAR,2mass,0.0167083901017341,20180610,2.26002,2.26003,,,13.552,0.027000000000000003,13.014000000000001,0.08,15.1285,0.00509486,13.5302,0.00202437,13.0217,0.00185343,14.1947,0.0100972,13.4445,0.00460537,12.001,0.022000000000000002,11.735,0.022000000000000002,11.675,0.022000000000000002,11.655,0.024,11.663,0.021,11.47,0.153,8.861,,12.8123,0.000507271,0.018000000000000002,6002.0,,3.98702,,,,1.88,,1.25,,DWARF,4.132324,,594.8580000000001,,0.00789492,,8,2.95765e-05,,0.000183614589206117,knownplanet,150.572632,53.950863,131.1323760170032,38.81340498722573,0,0,0,0,0,0,0,0,0,0,0,0,0,0
