RA,DEC,TESSMAG,TEFF,PRIORITY,RADIUS,MASS,CONTRATIO,ECLONG,ECLAT,DIST,TICID,SPEC_LIST
34.842106,-39.42292800000001,13.492,3064.0,0.00180995942795,0.28,0.11,6.46461723029e-06,13.508497,-49.30478,,77111651,knownplanet
42.721686,29.022379,13.045,5131.0,0.000312507938365,0.89,0.89,0.00277828313149,48.933511,12.071818,,436875934,knownplanet
41.592119,49.653075,6.524,4650.0,0.0,,2.3,0.012312870649700002,55.230891,31.890403000000006,225.312009736,302317605,knownplanet
31.909198,-20.661837,11.692,4953.0,0.000954805114411,0.8,0.84,0.016103329706299997,21.533154,-31.363532,,268766053,knownplanet
55.809279,16.634554,12.429,5652.0,0.0,0.93,0.95,0.000231864170543,57.372249,-3.016063,,434133930,knownplanet
34.748913,85.736173,6.079,4835.8,0.000410110130155,9.2,1.2,0.000300096809732,82.01599399999998,63.907594,185.890096265,397288169,knownplanet
57.485498,14.502231,13.039,4674.13,0.0,0.63,0.75,0.00052546200886,58.483079,-5.450546,,59040029,knownplanet
32.417323,32.316425,5.976,,1.0,,,2.81669965083e-05,41.370857,18.075444,476.85622719400004,63564248,knownplanet;bright
45.044374,-20.802545,6.931,5048.0,0.00068531549708,4.9,1.6,0.000941693247233,35.184617,-36.084714,160.657206467,71345433,knownplanet
59.464424,18.465277,11.204,4268.0,0.0,0.51,0.57,0.00316181548436,61.170779,-1.970098,,14160842,knownplanet
41.678707,-23.086603,8.67496,,0.0,,,0.00402051214044,30.532838,-37.091149,23.272876865,204614039,knownplanet
318.740725,-20.789207,7.436,5765.0,0.0,,1.15,0.000213327354378,314.835379,-4.611595,45.584041454799994,24294415,knownplanet
319.7425970000001,26.23057,7.716,,0.0,,,0.0076423697743999985,332.521677,39.501235,39.6188623851,25559430,knownplanet
301.8319370000001,-35.53863,7.122999999999998,5628.0,0.0,,1.1,0.000787372958027,296.375784,-14.968576,53.742489891700004,48777312,knownplanet
305.095781,-19.314682,9.919,5911.0,0.0,1.69,1.24,0.010476785694299998,302.86003,0.210688,244.673913038,71841620,knownplanet
313.783108,-34.135572,9.639,6153.0,0.00103700467884,1.62,1.45,0.646305418932,306.588819,-16.089866,198.60660227,92352620,knownplanet
313.788158,-34.135521000000004,9.991,6040.0,0.00100632476932,1.35,1.24,1.22467038259,306.593002,-16.091014,,92352621,knownplanet
328.151164,-26.026517,8.149,5710.0,0.00576633060897,0.9,0.94,0.000422670234687,321.38879,-12.354863,59.0678826975,53895723,knownplanet
313.899968,-18.971133,12.311,5130.0,0.0,0.88,0.92,0.0143615256836,310.9940430000001,-1.559517,,77202722,knownplanet
305.441394,26.692653000000004,9.92,6820.0,0.000975561421343,1.83,1.54,0.327063909913,316.645515,44.561377,366.437631585,99224131,knownplanet
322.050861,-21.726229,7.376,5776.0,0.0,,1.02,0.00365643361695,317.494362,-6.45284,47.596808985,99734092,knownplanet
309.511192,-48.462068,11.057,6431.0,0.000345338512442,2.08,1.45,0.0129763642294,298.80946,-28.897907,482.05186300699995,100566492,knownplanet
309.887334,42.248539,6.277,,0.0,,,0.00281601839824,331.880406,57.436951,33.3183531326,195382102,knownplanet
329.332765,-37.76360800000001,6.955,6067.0,0.0,,1.13,0.00829535117005,317.940142,-23.670719,45.8505272811,197686484,knownplanet
304.538823,-1.0757,9.107,5970.0,0.00158276343517,1.64,1.48,0.0104681169216,306.606494,18.082363,143.223579814,244089109,knownplanet
318.399961,14.689391,8.68,5008.0,0.00470616929182,0.95,0.86,0.006311405892470001,325.975319,29.216886,49.74279684729999,230183006,knownplanet
319.949611,-58.148876,9.848,6036.0,0.0008653382780239999,2.07,1.34,0.0045046540097100005,301.882382,-40.110144,363.38851208,231670397,knownplanet
307.077673,18.769508,6.229,5788.0,0.0,,1.07,0.00685441452958,315.290883,36.561706,37.8155859267,210171104,knownplanet
324.536405,30.48873,9.703,5246.0,0.0036887199674,0.84,0.86,0.0280345271981,339.897046,41.63444000000001,92.16739328700001,266593143,knownplanet
305.221844,59.44879200000001,12.825,5171.0,0.00087844487555,0.87,0.9,0.0378681115927,352.532153,72.80219100000002,,233948455,knownplanet
324.535036,-31.737501,8.046,6176.0,0.00336455159097,1.33,1.22,0.0013768382356199994,316.29872,-16.638987,93.1937399194,270501383,knownplanet
314.268488,31.661034,11.39,6236.0,0.000576857761625,1.36,1.21,0.612728106819,329.46815,46.38786,395.41555446800004,236445129,knownplanet
303.381675,65.162051,11.781,5013.0,0.00270304904046,0.8,0.84,0.0526314373709,9.61946,76.442854,,236887394,knownplanet
302.367972,52.276301,7.501,6010.0,0.0,,1.14,0.00379157266458,334.034879,68.633352,65.6973298475,294684871,knownplanet
303.19534,18.10487,9.867,6442.0,0.00122885074343,1.53,1.39,0.276425058527,310.647358,36.977211,282.373390191,278348461,knownplanet
311.042604,-39.225264,9.054,6400.0,0.00203054558343,1.43,1.28,0.00491157383295,302.855875,-20.351584,158.128285862,389352124,knownplanet
309.465438,-60.634472,6.912000000000001,5892.0,0.0,,1.15,0.00679935582587,294.185827,-40.466596,51.3510629987,351534793,knownplanet
307.725542,6.429542,10.958,5200.0,0.0013848238069700002,0.84,0.89,0.0201813668075,311.945705,24.54351,,374530847,knownplanet
312.457438,-24.428796,11.464,6351.0,0.000376939281145,1.4,1.21,0.017935124466500002,308.207986,-6.444281,316.739943175,336732616,knownplanet
304.2078850000001,3.294053,11.829,5870.0,0.00037310122503300013,1.28,1.08,0.494771842389,307.3795970000001,22.404213,,399402994,knownplanet
302.87790099999995,-64.620467,8.191,5988.0,0.00275460275647,1.53,0.91,0.483513504592,288.643369,-43.294626,146.25972436700002,466222634,knownplanet
315.531972,7.056235000000001,11.033,6430.0,0.00035075624375499994,1.98,1.55,0.152148807812,320.2528549999999,22.907438,,459730973,knownplanet
307.859784,39.938814,7.564,10170.0,0.00221457380565,2.36,2.52,0.00324763381651,327.47845099999995,56.076937,205.582573761,16740101,knownplanet
317.55156,10.738821000000002,8.072000000000001,7554.0,0.00175684680663,2.1,1.72,0.00405284134254,323.6112080000001,25.767805,189.253616373,354619337,knownplanet
306.123861,16.762148999999994,11.673,5885.0,0.00062310709952,1.09,1.1,0.08976181330399999,313.497985,34.907373,303.829510034,305243225,knownplanet
315.02579,-5.094437,8.817,4715.0,0.00510583609153,0.81,0.83,0.0011125284426400002,315.967535,11.452967999999998,50.2969912455,248853232,knownplanet
303.499368,-0.866898,6.86815,4996.0,0.0110480567474,0.73,0.81,0.0210758703271,305.593838,18.528964,19.6768557986,243962745,knownplanet
323.09794,-20.95741,7.60957,5056.0,0.00921519537185,0.72,0.74,0.0566269500976,318.670364,-6.033787,28.7541178864,99837626,knownplanet
300.1821240000001,22.710862,6.81314,4875.0,0.010763348374,0.81,0.85,0.0225694273453,308.740879,42.176213,19.8415577675,256364928,knownplanet
327.664437,10.463482,15.101,5940.0,2.6035733636e-05,1.43,1.29,4.1216507274900005,333.717001,22.076646,,466390122,knownplanet
