loc_rowid,pl_hostname,ra_str,ra,dec_str,dec,st_elon,st_elat,MatchID,MatchRA,MatchDEC,pmRA,pmDEC,Tmag,objType,typeSrc,dstArcSec,version,e_pmRA,e_pmDEC,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,duplicate_id,priority,splist
11,2MASS J01225093-2439505,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,8.622413,-30.711243,11614485,20.7123,-24.6641,108.86,-121.91,11.583,STAR,2mass,0.261693720628066,20180610,2,2,NaN,NaN,15.706,0.071,14.244,0.074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.084,0.028,9.47,0.023,9.198,0.026,9.022,0.023,8.857,0.019,8.747,0.031,8.298,0.317,12.6923,0.000479172,0.04,3530,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4,NaN,DWARF,NaN,NaN,53.95603,NaN,0.0167382,NaN,12,0.005134889,,0.00408864311151095,cdwrf
518,HD 213240,22h31m00.37s,337.751526,-49d25m59.8s,-49.43327,318.738282,-36.799672,144068704,337.751636,-49.433285,-135.954,-193.738,6.237,STAR,2mass,0.263132452846668,20180610,0.0318013,0.0273144,24.1601,0.289336,7.425,0.022,6.81,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.708,0.018,5.482,0.023,5.354,0.02,5.338,0.201,5.216,0.068,5.388,0.014,5.336,0.035,6.62664,0.000345996,0.017,5984.9,9.11852,0.0209004,NaN,0.138024,0.00557364,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,41.39056,0.714038,0.0158716,NaN,16,0.006428056,,0,knownplanet
3765,tau Boo,13h47m15.74s,206.815598,+17d27m24.9s,17.456905,197.931821,26.513883,72506701,206.81565,17.456959,-480,54,4.005,STAR,2mass,0.263972516273623,20180610,8,8,64.12,0.7,4.966,0.022,4.48635,0.023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.617,0.284,3.546,0.242,3.507,0.348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.31,6400,NaN,4.23683,NaN,0.272111,0.0141387,1.46,NaN,1.34,NaN,DWARF,3.221961,NaN,15.59576,0.170259,0.0203592,NaN,16,3.039114E-05,,1,bright;knownplanet
125,GJ 3341,05h15m46.72s,78.944663,-31d17m45.4s,-31.295951,73.767614,-54.114028,77897915,78.9446,-31.2959,494.75,252.96,9.916,STAR,2mass,0.266959287081652,20180610,2,2,NaN,NaN,13.544,0.024,12.062,0.022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.592,0.02,7.99,0.049,7.733,0.023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.073,3526,NaN,4.82362,NaN,NaN,NaN,0.44,NaN,0.47,NaN,DWARF,0.02696058,NaN,36.93601,NaN,0.0277611,NaN,31,0.204804,,0.00917069174460566,cdwrf
293,HD 106252,12h13m29.51s,183.372955,+10d02m29.9s,10.041638,179.055548,10.545743,397558558,183.372882,10.041657,23.6058,-280.195,6.835,STAR,2mass,0.26766147678147,20180610,0.0438929,0.025148,26.4634,0.341099,8.024,0.025,7.41,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.302,0.024,6.016,0.047,5.929,0.026,5.925,0.121,5.832,0.041,5.972,0.014,5.864,0.049,7.22859,0.000345996,0.018,5870,NaN,NaN,NaN,-0.0588897,0.0108113,NaN,NaN,1.01,NaN,DWARF,NaN,NaN,37.78804,0.648649,0.0220603,NaN,9,1.164097E-06,,0,knownplanet
446,HD 171238,18h34m43.67s,278.681976,-28d04m20.3s,-28.072313,277.681876,-4.864245,228217280,278.68205,-28.07235,-29.0164,-109.68,7.895,STAR,2mass,0.270175961892042,20180610,0.0748595,0.0534222,22.6887,0.379314,9.41,0.041,8.61,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.244,0.019,6.868,0.023,6.831,0.017,6.781,0.076,6.835,0.021,6.831,0.018,6.618,0.077,8.37765,0.000345996,0.017,5467,NaN,NaN,NaN,0.17,0.1,NaN,NaN,0.94,NaN,DWARF,NaN,NaN,44.0748,0.939456,NaN,NaN,709,0.04325876,,0,knownplanet
1029,K2-48,11h44m29.65s,176.12355,+03d16m20.7s,3.272425,175.143553,1.462643,397022282,176.123493,3.272376,-41.9,1.36,13.248,STAR,2mass,0.270345695272499,20180610,2,2,NaN,NaN,15.286,0.056,14.345,0.08,16.9268,0.00844865,15.3962,0.00472401,15.6978,0.0123545,14.2198,0.00484777,13.7561,0.00451528,12.43,0.022,11.903,0.025,11.838,0.027,11.742,0.022,11.815,0.023,11.148,0.174,8.318,NaN,13.8535,0.000841181,0.018,4899,NaN,4.59827,NaN,NaN,NaN,0.73,NaN,0.77,NaN,DWARF,0.2765478,NaN,335.145,NaN,0.0204715,NaN,11,7.875661E-05,,0,knownplanet
414,HD 159868,17h38m59.52s,264.748016,-43d08m43.9s,-43.145515,265.930055,-19.780396,248320609,264.748119,-43.145521,-230.873,-167.967,6.549,STAR,2mass,0.271403706052188,20180610,0.0526448,0.0454757,18.0636,0.347019,7.927,NaN,7.24,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.941,0.021,5.567,0.026,5.535,0.024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.99888,0.000345996,0.018,5558,NaN,NaN,NaN,-0.06,0.1,NaN,NaN,1.09,NaN,DWARF,NaN,NaN,55.35995,1.40584,NaN,NaN,623,0.02070017,,0,knownplanet
415,HD 159868,17h38m59.52s,264.748016,-43d08m43.9s,-43.145515,265.930055,-19.780396,248320609,264.748119,-43.145521,-230.873,-167.967,6.549,STAR,2mass,0.271403706052188,20180610,0.0526448,0.0454757,18.0636,0.347019,7.927,NaN,7.24,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.941,0.021,5.567,0.026,5.535,0.024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.99888,0.000345996,0.018,5558,NaN,NaN,NaN,-0.06,0.1,NaN,NaN,1.09,NaN,DWARF,NaN,NaN,55.35995,1.40584,NaN,NaN,623,0.02070017,,0,knownplanet
827,K2-137,12h27m28.97s,186.870728,-06d11m42.8s,-6.195224,188.757188,-2.963709,98720702,186.8708,-6.1952,-83.88,3.23,13.199,STAR,2mass,0.271785159392203,20180610,2,2,NaN,NaN,17.007,0.086,15.94,0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.764,0.026,11.126,0.022,10.882,0.023,10.705,0.024,10.65,0.02,10.647,0.096,8.368,NaN,NaN,NaN,0.04,3492,NaN,4.81428,NaN,NaN,NaN,0.44,NaN,0.46,NaN,DWARF,0.02593564,NaN,157.6885,NaN,0.0441362,NaN,17,0.004322291,,0,cdwrf
436,HD 167042,18h10m31.64s,272.631836,+54d17m11.6s,54.286552,277.205019,77.660009,353988778,272.631929,54.286499,108,247,4.807,STAR,2mass,0.273128002366381,20180610,8,8,20,0.51,6.926,0.018,5.98796,0.023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.933,0.23,3.557,0.198,3.55,0.238,3.772,0.225,3.49,0.232,3.748,0.014,3.702,0.022,NaN,NaN,0.243,4943,NaN,3.30809,NaN,0.026,0.0189737,4.5,NaN,1.5,NaN,DWARF,10.89136,NaN,50,1.275,0.0244788,NaN,44,0.001563193,,1,bright;knownplanet
3766,tau Cet,01h44m04.08s,26.017012,-15d56m14.9s,-15.93748,17.818604,-24.815857,419015728,26.017055,-15.937416,-1722,854,2.712,STAR,2mass,0.274299880435446,20180610,8,8,NaN,NaN,NaN,NaN,3.49607,0.023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.149,0.31,1.8,0.234,1.794,0.274,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.556,5333,25,4.6,0.028,-0.43,0.1,0.753032,0.0359525,0.8172237,0.0571697,DWARF,0.4132457,0.0394597,6.03578,NaN,0.0199037,NaN,19,1.406073E-05,,1,bright
3767,tau Cet,01h44m04.08s,26.017012,-15d56m14.9s,-15.93748,17.818604,-24.815857,419015728,26.017055,-15.937416,-1722,854,2.712,STAR,2mass,0.274299880435446,20180610,8,8,NaN,NaN,NaN,NaN,3.49607,0.023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.149,0.31,1.8,0.234,1.794,0.274,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.556,5333,25,4.6,0.028,-0.43,0.1,0.753032,0.0359525,0.8172237,0.0571697,DWARF,0.4132457,0.0394597,6.03578,NaN,0.0199037,NaN,19,1.406073E-05,,1,bright
3768,tau Cet,01h44m04.08s,26.017012,-15d56m14.9s,-15.93748,17.818604,-24.815857,419015728,26.017055,-15.937416,-1722,854,2.712,STAR,2mass,0.274299880435446,20180610,8,8,NaN,NaN,NaN,NaN,3.49607,0.023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.149,0.31,1.8,0.234,1.794,0.274,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.556,5333,25,4.6,0.028,-0.43,0.1,0.753032,0.0359525,0.8172237,0.0571697,DWARF,0.4132457,0.0394597,6.03578,NaN,0.0199037,NaN,19,1.406073E-05,,1,bright
3769,tau Cet,01h44m04.08s,26.017012,-15d56m14.9s,-15.93748,17.818604,-24.815857,419015728,26.017055,-15.937416,-1722,854,2.712,STAR,2mass,0.274299880435446,20180610,8,8,NaN,NaN,NaN,NaN,3.49607,0.023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.149,0.31,1.8,0.234,1.794,0.274,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.556,5333,25,4.6,0.028,-0.43,0.1,0.753032,0.0359525,0.8172237,0.0571697,DWARF,0.4132457,0.0394597,6.03578,NaN,0.0199037,NaN,19,1.406073E-05,,1,bright
623,HD 41004 A,05h59m49.65s,89.956871,-48d14m22.9s,-48.239693,89.90862,-71.67897,219152539,89.956973,-48.239728,-42.6496,65.3157,7.768,STAR,2mass,0.27511098525066,20180610,0.0550247,0.0500222,27.2545,0.558155,9.485,0.027,8.65,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.004,0.026,6.549,0.031,6.428,0.036,6.363,0.084,6.301,0.025,6.31,0.015,6.236,0.051,8.33394,0.000345996,0.019,5185.43,46.422,0.22,NaN,0.16,0.07,NaN,NaN,0.4,NaN,GIANT,NaN,NaN,36.69117,0.736332,0.0559358,NaN,38,0.0008257081,,0,knownplanet
