RA,DEC,TESSMAG,TEFF,PRIORITY,RADIUS,MASS,CONTRATIO,ECLONG,ECLAT,DIST,TICID,SPEC_LIST,dec,elat,elon,ra,sector_0,sector_1,sector_2,sector_3,sector_4,sector_5,sector_6,sector_7,sector_8,sector_9,sector_10,sector_11,sector_12,total_sectors_obsd
16.952732,-8.233682,7.8260000000000005,5746.0,0.0053257009260600004,1.02,0.96,0.000151310895492,12.380137,-14.251738000000001,50.66160331880001,408047845,knownplanet,-8.233682,-14.251740927504956,12.3801421846429,16.952732,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.362141,39.383808,10.177,6518.0,0.0011455126639100001,1.46,1.32,0.009736495476790001,18.384496,35.46533200000001,232.82107227,432549364,knownplanet,39.383808,35.46532987477276,18.3844902825891,0.362141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.171663,20.448903,8.09,5702.0,0.0,,1.13,0.00358453461347,18.385680999999998,14.378714000000002,78.9499301104,434225151,knownplanet,20.448903,14.378711640868337,18.385680129831456,11.171663,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.504202,-19.604526,7.731,5577.0,0.00275804893119,1.67,1.03,5.49559658798e-05,12.77617,-26.824744,81.0428960366,439501096,knownplanet,-19.604526,-26.82474805503001,12.776177447344702,22.504202,0,0,1,0,0,0,0,0,0,0,0,0,0,1
24.168162,-50.659178000000004,11.192,5070.0,0.0015178218554100001,0.9,0.89,0.043793449691000005,353.146752,-54.371409,,158623531,knownplanet,-50.659178000000004,-54.37141633563865,353.1467663859316,24.168162,0,1,1,0,0,0,0,0,0,0,0,0,0,2
9.516726,34.711555,11.872,4990.0,0.000786303641741,0.82,0.84,0.0007636713678489999,23.422603,27.93008,,267650535,knownplanet,34.711555,27.930078367127567,23.42259922775249,9.516726,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.065185,32.810757,12.7,5449.0,0.0003546826596030001,1.04,0.98,0.0010114041118099999,32.13736,22.147273000000002,,61205803,knownplanet,32.810757,22.147272678982194,32.13735741204279,21.065185,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0527760000000015,-79.851174,5.744,5540.0,1.0,0.9,0.9,0.0006042757878190001,294.81507999999997,-65.241389,17.554427980699998,290543478,knownplanet;bright,-79.851174,-65.24140015940206,294.81508011940497,4.0527760000000015,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20.496326,76.71034,6.3369599999999995,5075.0,0.0149584446872,0.78,0.83,0.0013730329070899998,64.96257299999999,59.417249,17.0088897754,468723402,knownplanet,76.71034,59.41725477349133,64.96255897660633,20.496326,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.142925999999999,-16.226304000000006,8.45859,4714.0,0.0078022134503,0.69,0.74,9.09991761303e-08,359.90306,-17.689897,34.6677529927,75377076,knownplanet,-16.226304000000006,-17.6899029913198,359.90306516036674,7.142925999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.508531,-22.453129999999998,9.10108,4962.0,0.0,,0.78,0.0024472731761799997,5.7371360000000005,-27.056865999999996,50.443266916300004,268634769,knownplanet,-22.453129999999998,-27.056870809518674,5.737142996865321,16.508531,0,0,1,0,0,0,0,0,0,0,0,0,0,1
12.887352,58.42616500000001,8.655,5130.0,0.00032512468728099995,6.26,1.87,0.0148565081139,41.149654,47.325053999999994,431.38888171699995,312545949,knownplanet,58.42616500000001,47.325056137167145,41.14964416329543,12.887352,0,0,0,0,0,0,0,0,0,0,0,0,0,0
